Date,Year,Month,Day
2011-01-04,2011,1,4
2011-01-05,2011,1,5
2011-01-06,2011,1,6
2011-01-07,2011,1,7
2011-01-09,2011,1,9
2011-01-10,2011,1,10
2011-01-11,2011,1,11
2011-01-12,2011,1,12
2011-01-13,2011,1,13
2011-01-14,2011,1,14
2011-01-16,2011,1,16
2011-01-17,2011,1,17
2011-01-18,2011,1,18
2011-01-19,2011,1,19
2011-01-20,2011,1,20
2011-01-21,2011,1,21
2011-01-23,2011,1,23
2011-01-24,2011,1,24
2011-01-25,2011,1,25
2011-01-26,2011,1,26
2011-01-27,2011,1,27
2011-01-28,2011,1,28
2011-01-30,2011,1,30
2011-01-31,2011,1,31
2011-02-01,2011,2,1
2011-02-02,2011,2,2
2011-02-03,2011,2,3
2011-02-04,2011,2,4
2011-02-06,2011,2,6
2011-02-07,2011,2,7
2011-02-08,2011,2,8
2011-02-09,2011,2,9
2011-02-10,2011,2,10
2011-02-11,2011,2,11
2011-02-13,2011,2,13
2011-02-14,2011,2,14
2011-02-15,2011,2,15
2011-02-16,2011,2,16
2011-02-17,2011,2,17
2011-02-18,2011,2,18
2011-02-20,2011,2,20
2011-02-21,2011,2,21
2011-02-22,2011,2,22
2011-02-23,2011,2,23
2011-02-24,2011,2,24
2011-02-25,2011,2,25
2011-02-27,2011,2,27
2011-02-28,2011,2,28
2011-03-01,2011,3,1
2011-03-02,2011,3,2
2011-03-03,2011,3,3
2011-03-04,2011,3,4
2011-03-06,2011,3,6
2011-03-07,2011,3,7
2011-03-08,2011,3,8
2011-03-09,2011,3,9
2011-03-10,2011,3,10
2011-03-11,2011,3,11
2011-03-13,2011,3,13
2011-03-14,2011,3,14
2011-03-15,2011,3,15
2011-03-16,2011,3,16
2011-03-17,2011,3,17
2011-03-18,2011,3,18
2011-03-20,2011,3,20
2011-03-21,2011,3,21
2011-03-22,2011,3,22
2011-03-23,2011,3,23
2011-03-24,2011,3,24
2011-03-25,2011,3,25
2011-03-27,2011,3,27
2011-03-28,2011,3,28
2011-03-29,2011,3,29
2011-03-30,2011,3,30
2011-03-31,2011,3,31
2011-04-01,2011,4,1
2011-04-03,2011,4,3
2011-04-04,2011,4,4
2011-04-05,2011,4,5
2011-04-06,2011,4,6
2011-04-07,2011,4,7
2011-04-08,2011,4,8
2011-04-10,2011,4,10
2011-04-11,2011,4,11
